frame_id,N_i,V2_i,V3_i,T_i,M2_i,M3_i,N_j,V2_j,V3_j,T_j,M2_j,M3_j
1,88.2598,20.1662,-20.1662,3.83979e-16,26.8355,26.8355,-88.2598,-20.1662,20.1662,-3.83979e-16,53.8294,53.8294
2,88.2598,20.1662,20.1662,2.07425e-16,-26.8355,26.8355,-88.2598,-20.1662,-20.1662,-2.07425e-16,-53.8294,53.8294
3,88.2598,-20.1662,20.1662,4.31004e-16,-26.8355,-26.8355,-88.2598,20.1662,-20.1662,-4.31004e-16,-53.8294,-53.8294
4,88.2598,-20.1662,-20.1662,3.89752e-16,26.8355,-26.8355,-88.2598,20.1662,20.1662,-3.89752e-16,53.8294,-53.8294
5,12.1521,0.487818,43.4268,23.6369,-28.9178,0.389796,-12.1521,-0.487818,-43.4268,-23.6369,-23.1944,0.195585
6,8.72146,-0.163394,27.5514,15.1807,23.7732,-0.195452,-8.72146,0.163394,-27.5514,-15.1807,-56.8349,-0.00062076
7,7.79107,-1.92988e-17,0,2.84217e-14,56.9218,0.000620336,-7.79107,1.92988e-17,0,-2.84217e-14,-56.9218,-0.000620336
8,8.72146,0.163394,-27.5514,-15.1807,56.8349,0.00062076,-8.72146,-0.163394,27.5514,15.1807,-23.7732,0.195452
9,12.1521,-0.487818,-43.4268,-23.6369,23.1944,-0.195585,-12.1521,0.487818,43.4268,23.6369,28.9178,-0.389796
10,12.1521,0.487818,43.4268,23.6369,-28.9178,0.389796,-12.1521,-0.487818,-43.4268,-23.6369,-23.1944,0.195585
11,8.72146,-0.163394,27.5514,15.1807,23.7732,-0.195452,-8.72146,0.163394,-27.5514,-15.1807,-56.8349,-0.00062076
12,7.79107,-4.55365e-18,2.27374e-13,5.68434e-14,56.9218,0.000620336,-7.79107,4.55365e-18,-2.27374e-13,-5.68434e-14,-56.9218,-0.000620336
13,8.72146,0.163394,-27.5514,-15.1807,56.8349,0.00062076,-8.72146,-0.163394,27.5514,15.1807,-23.7732,0.195452
14,12.1521,-0.487818,-43.4268,-23.6369,23.1944,-0.195585,-12.1521,0.487818,43.4268,23.6369,28.9178,-0.389796
15,12.1521,-0.487818,43.4268,-23.6369,-28.9178,-0.389796,-12.1521,0.487818,-43.4268,23.6369,-23.1944,-0.195585
16,8.72146,0.163394,27.5514,-15.1807,23.7732,0.195452,-8.72146,-0.163394,-27.5514,15.1807,-56.8349,0.00062076
17,7.79107,8.00141e-17,2.27374e-13,-4.26326e-14,56.9218,-0.000620336,-7.79107,-8.00141e-17,-2.27374e-13,4.26326e-14,-56.9218,0.000620336
18,8.72146,-0.163394,-27.5514,15.1807,56.8349,-0.00062076,-8.72146,0.163394,27.5514,-15.1807,-23.7732,-0.195452
19,12.1521,0.487818,-43.4268,23.6369,23.1944,0.195585,-12.1521,-0.487818,43.4268,-23.6369,28.9178,0.389796
20,12.1521,-0.487818,43.4268,-23.6369,-28.9178,-0.389796,-12.1521,0.487818,-43.4268,23.6369,-23.1944,-0.195585
21,8.72146,0.163394,27.5514,-15.1807,23.7732,0.195452,-8.72146,-0.163394,-27.5514,15.1807,-56.8349,0.00062076
22,7.79107,1.40946e-17,0,-4.26326e-14,56.9218,-0.000620336,-7.79107,-1.40946e-17,0,4.26326e-14,-56.9218,0.000620336
23,8.72146,-0.163394,-27.5514,15.1807,56.8349,-0.00062076,-8.72146,0.163394,27.5514,-15.1807,-23.7732,-0.195452
24,12.1521,0.487818,-43.4268,23.6369,23.1944,0.195585,-12.1521,-0.487818,43.4268,-23.6369,28.9178,0.389796
