cell_id,Mxx,Myy,Mxy,Mmax,Mmin,Fxx,Fyy,V13,V23,Vmax,vonMises
1,-1.56939,-1.56939,-1.98276,0.41337,-3.55215,-5.24726,-5.24726,-214.098,-214.098,302.78,2287.81
2,1.46451,-3.36498,-1.87071,2.10436,-4.00483,-4.9971,-1.04755,-65.127,-524.145,528.176,3204.21
3,2.05703,-4.46964,-3.1807e-15,2.05703,-4.46964,-4.82578,-0.767206,-1.871e-13,-677.998,677.998,3439.37
4,1.46451,-3.36498,1.87071,2.10436,-4.00483,-4.9971,-1.04755,65.127,-524.145,528.176,3204.21
5,-1.56939,-1.56939,1.98276,0.41337,-3.55215,-5.24726,-5.24726,214.098,-214.098,302.78,2287.81
6,-3.36498,1.46451,-1.87071,2.10436,-4.00483,-1.04755,-4.9971,-524.145,-65.127,528.176,3204.21
7,5.13545,5.13545,-1.92415,7.0596,3.21129,-3.35283,-3.35283,-142.656,-142.656,201.746,3645.17
8,7.07101,6.43068,-4.4904e-15,7.07101,6.43068,-3.85541,-2.37473,-1.871e-13,-191.793,191.793,4032.07
9,5.13545,5.13545,1.92415,7.0596,3.21129,-3.35283,-3.35283,142.656,-142.656,201.746,3645.17
10,-3.36498,1.46451,1.87071,2.10436,-4.00483,-1.04755,-4.9971,524.145,-65.127,528.176,3204.21
11,-4.46964,2.05703,-4.8646e-15,2.05703,-4.46964,-0.767206,-4.82578,-677.998,-7.13319e-13,677.998,3439.37
12,6.43068,7.07101,-2.9936e-15,7.07101,6.43068,-2.37473,-3.85541,-191.793,-1.3097e-12,191.793,4032.07
13,8.98217,8.98217,-2.6194e-15,8.98217,8.98217,-3.26287,-3.26287,-4.6775e-13,-3.742e-13,5.99013e-13,5356.67
14,6.43068,7.07101,3.46135e-15,7.07101,6.43068,-2.37473,-3.85541,191.793,-5.613e-13,191.793,4032.07
15,-4.46964,2.05703,5.4259e-15,2.05703,-4.46964,-0.767206,-4.82578,677.998,-3.742e-13,677.998,3439.37
16,-3.36498,1.46451,1.87071,2.10436,-4.00483,-1.04755,-4.9971,-524.145,65.127,528.176,3204.21
17,5.13545,5.13545,1.92415,7.0596,3.21129,-3.35283,-3.35283,-142.656,142.656,201.746,3645.17
18,7.07101,6.43068,1.1226e-15,7.07101,6.43068,-3.85541,-2.37473,-1.02905e-12,191.793,191.793,4032.07
19,5.13545,5.13545,-1.92415,7.0596,3.21129,-3.35283,-3.35283,142.656,142.656,201.746,3645.17
20,-3.36498,1.46451,-1.87071,2.10436,-4.00483,-1.04755,-4.9971,524.145,65.127,528.176,3204.21
21,-1.56939,-1.56939,1.98276,0.41337,-3.55215,-5.24726,-5.24726,-214.098,214.098,302.78,2287.81
22,1.46451,-3.36498,1.87071,2.10436,-4.00483,-4.9971,-1.04755,-65.127,524.145,528.176,3204.21
23,2.05703,-4.46964,4.3033e-15,2.05703,-4.46964,-4.82578,-0.767206,-1.15768e-12,677.998,677.998,3439.37
24,1.46451,-3.36498,-1.87071,2.10436,-4.00483,-4.9971,-1.04755,65.127,524.145,528.176,3204.21
25,-1.56939,-1.56939,-1.98276,0.41337,-3.55215,-5.24726,-5.24726,214.098,214.098,302.78,2287.81
